industry_code,industry_name,year,med_sales,med_ar,med_dso,med_ar_turnover,med_pct_over6m,prov_cov,writeoff_cov
123,other manufacturing,2013,9.0168,2.0797999999999996,85.19279476907596,4.2845034226589025,0.16764059413775817,0.0708245243128964,0.10993657505285412
123,other manufacturing,2014,13.4953,2.1159,69.28096097628276,5.26842534864104,0.1464947160939089,0.080797481636936,0.12172088142707241
123,other manufacturing,2015,9.78705,1.8487,73.70085276877927,4.95249790831101,0.17396045812983935,0.08498023715415019,0.1067193675889328
123,other manufacturing,2016,7.1947,1.6383,77.63942931258107,4.701219512195122,0.2133152244955181,0.0691588785046729,0.09158878504672897
123,other manufacturing,2017,8.0881,1.6716,73.77788877788878,4.947281713344316,0.16652578191039727,0.0655893536121673,0.10361216730038023
123,other manufacturing,2018,10.318950000000001,2.2439,77.87583321114782,4.629067245119306,0.21081441287067446,0.09014084507042254,0.1136150234741784
123,other manufacturing,2019,10.0938,2.0251,73.12917715598606,4.9911703075889875,0.17484720874636153,0.08463035019455253,0.10116731517509728
123,other manufacturing,2020,8.4209,1.7162,78.40353208245244,4.655402543704488,0.1792420202346673,0.1068931068931069,0.1068931068931069
123,other manufacturing,2021,8.358,1.8065,86.42195767195767,4.223463687150838,0.16880709703336894,0.0865979381443299,0.10927835051546392
123,other manufacturing,2022,9.3246,1.8532,74.32069107376893,4.91124481391847,0.24146654838364348,0.08916478555304741,0.09593679458239278
124,Utility electric power generation,2012,8.4415,1.9733,91.78779233454708,3.976563666218839,0.37421383647798745,0.06701030927835051,0.09278350515463918
124,Utility electric power generation,2013,10.8374,2.12575,79.61895257608734,4.584339731535562,0.38274446741925233,0.07166666666666667,0.095
124,Utility electric power generation,2014,9.347,1.3726500000000001,61.86479185109667,5.899978919647511,0.3354885081780604,0.0729483282674772,0.07446808510638298
124,Utility electric power generation,2015,8.0809,1.7334,68.59543551763,5.321081966629272,0.3386277788098334,0.06926406926406926,0.06204906204906205
124,Utility electric power generation,2016,6.29645,1.8837000000000002,84.90034243983654,4.299158160152913,0.33333333333333337,0.05941845764854614,0.045512010113780026
124,Utility electric power generation,2017,6.9504,2.3952,81.08042751057111,4.501733260274296,0.5511551155115512,0.05741626794258373,0.04904306220095694
124,Utility electric power generation,2018,7.21225,1.9471,76.79724379854675,4.617621899059024,0.4077074573001949,0.06993006993006994,0.04428904428904429
124,Utility electric power generation,2019,7.1274,2.0833500000000003,84.26644140567241,4.312708084678686,0.46599955855512365,0.08037825059101655,0.054373522458628844
124,Utility electric power generation,2020,6.7397,2.3241,87.33555767397522,4.107185918318668,0.48148148148148145,0.09378806333739342,0.058465286236297195
124,Utility electric power generation,2021,6.9375,2.7365,90.09726939645734,4.01281934595292,0.5176243618593502,0.09440993788819876,0.055900621118012424
124,Utility electric power generation,2022,7.3461,2.8461,89.24683714417871,4.087786803477269,0.5176957304325241,0.09622886866059818,0.036410923276983094
125,Water & waste management,2012,1.4347500000000002,0.3537,88.88299145323822,4.977113790896193,0.3041575492341357,0.09090909090909091,0.0
125,Water & waste management,2013,2.3114,0.6194,144.9146953189878,2.7474581824994426,0.3870796545568582,0.09090909090909091,0.0
125,Water & waste management,2014,3.2189,0.85555,173.34146740185477,2.1056704173031275,0.325598743619945,0.07692307692307693,0.0
125,Water & waste management,2015,2.63575,0.53645,121.66666666666666,3.0,0.22515391380826738,0.0,0.0
125,Water & waste management,2016,2.9908,0.5521,160.90587085331936,2.268406976478387,0.33965074224442315,0.0,0.0
125,Water & waste management,2017,4.2321,0.8692,165.01146077866858,2.211967570480319,0.1283253734548409,0.0,0.10526315789473684
125,Water & waste management,2018,3.8733500000000003,1.135,84.26720450680008,4.340134009767784,0.6175908221797324,0.0,0.05
125,Water & waste management,2019,7.1993,0.6952,58.62068592682295,6.226470984246667,0.4260610975939443,0.0,0.1
125,Water & waste management,2020,3.0894,0.91595,102.33799443257593,3.566612791503117,0.3308439953874032,0.0,0.15
125,Water & waste management,2021,3.8657500000000002,0.9128499999999999,171.04194893089743,2.141658030982505,0.44472697720457144,0.0,0.05
125,Water & waste management,2022,5.9886,0.9863,99.05625268381124,3.684774964838256,0.5640983851545865,0.0,0.1111111111111111
126,construction,2012,2.0368,0.6438,88.88426685854337,4.106463527239151,0.5223873044971801,0.01866251944012442,0.034992223950233284
126,construction,2013,2.8279,0.73985,86.06986899563319,4.2407407407407405,0.47824030274361395,0.03236514522821577,0.03983402489626556
126,construction,2014,3.79995,0.6547499999999999,67.09629040185796,5.439973922504034,0.5365735952795976,0.03581661891117478,0.04154727793696275
126,construction,2015,3.30505,0.6165,72.97467036780014,4.978650606961829,0.5135935701752731,0.021250758955676987,0.024893746205221615
126,construction,2016,2.8535500000000003,0.6237,79.41027956273597,4.526259349078384,0.5902588235436503,0.02756598240469208,0.03167155425219941
126,construction,2017,2.829,0.66515,88.94530088299385,3.984687868080094,0.5731681713205963,0.028364514182257092,0.02715751357875679
126,construction,2018,2.9683,0.7767,98.83064289330107,3.620286085825748,0.7313414696983578,0.037371910789632305,0.03496081977094635
126,construction,2019,2.6699,0.6578,81.67874952855887,4.4383621315522,0.7689927544412588,0.03781773093614383,0.035337879727216366
126,construction,2020,2.2865,0.6045499999999999,90.30577607445936,3.9923191713483135,0.7720291026677445,0.05410691003911343,0.03585397653194263
126,construction,2021,1.8944,0.5179,103.32810026591272,3.52146594320678,0.8453532247698302,0.053440213760855046,0.04809619238476954
126,construction,2022,2.3379,0.5154,79.92276917448122,4.566908826734471,0.8844535873302147,0.04,0.044444444444444446
127,infra engineering,2012,17.761249999999997,4.4830000000000005,102.35609519515315,3.565982228199008,0.24204729412832657,0.088348271446863,0.10499359795134443
127,infra engineering,2013,18.7155,4.71195,110.06168407461769,3.3163225882245158,0.2973830692894744,0.0880893300248139,0.10918114143920596
127,infra engineering,2014,16.69945,4.1794,94.38018401254088,3.867337403189383,0.2605128205128205,0.08731082654249127,0.11292200232828871
127,infra engineering,2015,13.11535,3.7326,103.10892522568555,3.539945734097076,0.2783623055809698,0.07225130890052356,0.1068062827225131
127,infra engineering,2016,12.2288,3.4026,107.84405251072161,3.384516989655388,0.28965599395448743,0.0738255033557047,0.10162991371045062
127,infra engineering,2017,13.6384,3.8855,108.39162968763594,3.367418693231761,0.29599159773099537,0.08349146110056926,0.11480075901328274
127,infra engineering,2018,16.179299999999998,4.4816,108.25332244981252,3.3717209942375503,0.28425748884639895,0.09267840593141798,0.10194624652455977
127,infra engineering,2019,15.0996,4.223599999999999,106.00349176606248,3.4432828005846545,0.24662709120345386,0.11571025399811853,0.10253998118532455
127,infra engineering,2020,14.34555,4.1627,111.17061353278095,3.2673625142981497,0.37073945208255915,0.10361216730038023,0.09125475285171103
127,infra engineering,2021,13.9561,4.7058,109.92687484215186,3.302275985170097,0.3564556299676359,0.10617760617760617,0.08301158301158301
127,infra engineering,2022,16.0654,5.0718499999999995,91.89233434993815,3.9570787956438185,0.34989934574735787,0.1156677181913775,0.08622502628811778
128,automobile sale & service,2012,21.369950000000003,1.1883,16.54294004694939,22.06379270940464,0.04721248445097818,0.1366906474820144,0.1366906474820144
128,automobile sale & service,2013,23.3401,1.1865,22.167545046918363,16.46551294820717,0.06598026328961035,0.11486486486486487,0.13513513513513514
128,automobile sale & service,2014,20.5936,0.9227,21.487710611006303,16.986453634248125,0.06950354609929078,0.13368983957219252,0.1497326203208556
128,automobile sale & service,2015,20.2659,0.9368,19.80541475182634,18.42930353005316,0.08796038005120949,0.11374407582938388,0.14691943127962084
128,automobile sale & service,2016,17.8173,0.9221,21.414542953795344,17.048405068390245,0.07875134839725241,0.09333333333333334,0.13777777777777778
128,automobile sale & service,2017,24.3795,1.2044,24.745891077501508,14.74992348656424,0.07272314193431886,0.1206896551724138,0.09913793103448276
128,automobile sale & service,2018,34.413349999999994,1.6733,21.2684588336688,17.161563179283622,0.08691133868851596,0.10507246376811594,0.11956521739130435
128,automobile sale & service,2019,31.2427,1.7545,22.72501301723232,16.06162404791028,0.07344202346487887,0.12087912087912088,0.10989010989010989
128,automobile sale & service,2020,27.5505,1.2024,19.366686580492278,18.855071168531797,0.13207711768298003,0.10687022900763359,0.12595419847328243
128,automobile sale & service,2021,24.4118,1.3346,22.716531617389812,16.06795925931334,0.09480401093892434,0.08695652173913043,0.1422924901185771
128,automobile sale & service,2022,31.9623,1.2276,18.801511081619257,19.413351990951387,0.076423063991708,0.1038961038961039,0.12121212121212122
129,Wholesale trading business,2012,3.5798500000000004,0.7611,72.29581993569133,5.048701298701299,0.18848126355711256,0.06910569105691057,0.11517615176151762
129,Wholesale trading business,2013,4.3563,0.9301,74.6505131069128,4.884195355624087,0.18031450922337847,0.07172877556738583,0.11627906976744186
129,Wholesale trading business,2014,5.0644,0.944,75.19731874208576,4.853896470057517,0.1786205463532206,0.09117792015771316,0.14391325776244454
129,Wholesale trading business,2015,3.7742,0.743,74.0133697936963,4.931541448924261,0.18468135129912766,0.08002574554816563,0.12937137953228922
129,Wholesale trading business,2016,3.1885,0.6811499999999999,78.00637958532695,4.679104477611941,0.2040196206103225,0.07776234874032929,0.1337036302320968
129,Wholesale trading business,2017,3.2826,0.70765,79.6330396231904,4.5814701979156665,0.21833445966811066,0.0768046198267565,0.13801732435033687
129,Wholesale trading business,2018,4.26475,0.8805000000000001,81.85922330097088,4.458874458874459,0.22269115320448019,0.09040258806613947,0.14485981308411214
129,Wholesale trading business,2019,4.3467,0.8679,77.32165516065311,4.718701449856782,0.2086253331904419,0.09804624484674673,0.1412439505287686
129,Wholesale trading business,2020,4.0726,0.8090999999999999,76.86197317067646,4.736988847583644,0.23279703898050974,0.10049333089713137,0.14050794810889822
129,Wholesale trading business,2021,3.7737,0.8387,83.93053521593767,4.348366771679656,0.2591657810839532,0.10084033613445378,0.1488328664799253
129,Wholesale trading business,2022,4.4462,0.88595,70.49239835813708,5.1705659262178,0.2484076433121019,0.09554655870445344,0.14757085020242916
130,Retail trading business,2012,7.40315,0.6776,35.90973575359792,10.16909486931268,0.15399968769401784,0.10294117647058823,0.14411764705882352
130,Retail trading business,2013,9.2355,0.647,29.0219802253161,12.576674546887316,0.16825532472422505,0.1078167115902965,0.11320754716981132
130,Retail trading business,2014,9.2241,0.5622,33.79545959772764,10.80050083181502,0.18304210827843023,0.10199556541019955,0.12416851441241686
130,Retail trading business,2015,6.7382,0.4988,35.41757813398055,10.305777442859736,0.1885958406265761,0.07722007722007722,0.13320463320463322
130,Retail trading business,2016,5.2774,0.4163,31.100862109301694,11.739359155935636,0.1459364521794667,0.09107142857142857,0.11607142857142858
130,Retail trading business,2017,5.589,0.40045,33.643086380415696,10.84925078185522,0.19774501300954034,0.08596491228070176,0.12456140350877193
130,Retail trading business,2018,9.5307,0.4537,34.69494107724131,10.520742292464863,0.18312655086848637,0.09193548387096774,0.1064516129032258
130,Retail trading business,2019,11.15165,0.50375,33.38073170791754,10.934452811450567,0.17577464788732397,0.1185064935064935,0.15097402597402598
130,Retail trading business,2020,10.7598,0.5138,33.841069317066186,10.785961101057449,0.19776476213244085,0.12162162162162163,0.14358108108108109
130,Retail trading business,2021,8.4253,0.6759,38.5786044426292,9.380210595885078,0.2906810767234985,0.15120274914089346,0.14604810996563575
130,Retail trading business,2022,11.4336,0.68925,31.483250694213492,11.593608330352293,0.24881430134987229,0.1478743068391867,0.13863216266173753
131,transportation,2012,11.4023,2.26835,68.15358640717726,5.355550885016402,0.15492750986779788,0.1434108527131783,0.1821705426356589
131,transportation,2013,11.998149999999999,2.19285,67.82220462867403,5.381718303000792,0.1272140111740698,0.16602316602316602,0.16216216216216217
131,transportation,2014,12.769200000000001,2.2503,70.21030698538294,5.198909866477667,0.1553677697968913,0.1951219512195122,0.21254355400696864
131,transportation,2015,11.90315,2.18975,65.44425436860261,5.577265774077053,0.16954838709677417,0.17405063291139242,0.20569620253164558
131,transportation,2016,9.3745,1.7815,65.9458949204794,5.534840348138937,0.15153496960837118,0.17151162790697674,0.19767441860465115
131,transportation,2017,9.45555,1.83165,66.86474553111648,5.458780962983579,0.1443223443223443,0.17086834733893558,0.17086834733893558
131,transportation,2018,11.97065,2.2316,75.33073741042124,4.845299708290204,0.16981875492513787,0.19170984455958548,0.18652849740932642
131,transportation,2019,13.243649999999999,1.9848,69.50085028509163,5.25173430976419,0.16296584249926102,0.1868421052631579,0.23684210526315788
131,transportation,2020,12.2682,2.2636,69.64978238642018,5.240504528427142,0.16012767075964102,0.192,0.208
131,transportation,2021,10.5079,2.5084999999999997,77.6095841985106,4.703033309160324,0.13386814664579844,0.1983695652173913,0.18206521739130435
131,transportation,2022,13.5721,2.3556,61.829329263594644,5.903417291520474,0.13158442862210734,0.1642651296829971,0.17579250720461095
