,dso_approx,ar_turnover,prov_rate,writeoff_rate,liq_current_ratio,lev_debt_to_assets,pct_over6m
dso_approx,1.0,-0.0004417990293806164,-0.00029469856414952357,-0.0005145951679511563,0.014836414677394551,0.0028852918330799547,0.029846091342260933
ar_turnover,-0.0004417990293806164,1.0,0.09698454797820341,0.05088347471548326,-0.0004050488455377942,-0.0002766338453895496,0.02371663784188966
prov_rate,-0.00029469856414952357,0.09698454797820341,1.0,0.2902391663833335,0.013471868092625957,0.013173936692645374,0.03727857220567379
writeoff_rate,-0.0005145951679511563,0.05088347471548326,0.2902391663833335,1.0,0.0002816713464159095,0.0027035982542589474,0.043302785589497766
liq_current_ratio,0.014836414677394551,-0.0004050488455377942,0.013471868092625957,0.0002816713464159095,1.0,-0.000803586037965152,0.032804529240526195
lev_debt_to_assets,0.0028852918330799547,-0.0002766338453895496,0.013173936692645374,0.0027035982542589474,-0.000803586037965152,1.0,0.0581833036620594
pct_over6m,0.029846091342260933,0.02371663784188966,0.03727857220567379,0.043302785589497766,0.032804529240526195,0.0581833036620594,1.0
