new_industry_code,company_id
101,173839
101,400434
101,766803
101,618095
101,208624
101,223964
101,268612
101,553111
101,118744
101,537546
101,190913
101,765888
101,291836
101,124054
101,190838
101,179986
101,165390
101,373815
101,216339
101,498999
101,651274
101,133783
101,636031
101,548246
101,149002
101,192169
101,361472
101,569591
101,264934
101,275582
101,613100
101,531775
101,251483
101,747765
101,616579
101,446580
101,209529
101,364126
101,497974
101,496615
101,485757
101,271303
101,112244
101,487770
101,236551
101,711849
101,296333
101,263024
101,192995
101,169477
101,256307
101,129658
101,131873
101,306084
101,456149
101,327779
101,311859
101,358197
101,402620
101,447988
101,265505
101,474494
101,207757
101,496830
101,168374
101,102885
101,307675
101,243527
101,466018
101,475540
101,499282
101,638650
101,153569
101,363031
101,276008
101,667125
101,213990
101,692944
101,108153
101,210456
101,486016
101,214495
101,253399
101,142286
101,132058
101,457341
101,510668
101,497086
101,126528
101,680857
101,255783
101,425367
101,663473
101,131414
101,458213
101,255241
101,237512
101,332969
101,205836
101,391953
101,675402
101,709519
101,484430
101,498614
101,638509
101,495657
101,406968
101,162593
101,168043
101,121003
101,190915
101,202147
101,183355
101,134507
101,331612
101,363928
101,496791
101,748083
101,486529
101,243224
101,165464
101,519288
101,362278
101,301476
101,631089
101,218959
101,138899
101,184167
101,182275
101,248911
101,540457
101,269472
101,475538
101,364416
101,530358
101,484915
101,665983
101,196895
101,704615
101,331856
101,205224
101,709036
101,129195
101,182752
101,171088
101,490506
101,132035
101,496533
101,351524
101,276577
101,192486
101,107964
101,315223
101,152643
101,459412
101,276707
101,648140
101,332992
101,400733
101,200125
101,566303
101,346502
101,198334
101,338516
101,249572
101,129493
101,191164
101,115532
101,359118
101,185273
101,456552
101,708387
101,182362
101,461935
101,513314
101,183257
101,437020
101,273821
101,553589
101,681630
101,365535
101,100345
101,699634
101,663476
101,225758
101,136764
101,164947
101,227684
101,377344
101,167892
101,486540
101,137656
101,267662
101,680873
101,321784
101,498191
101,219767
101,287976
101,609937
101,125137
101,570685
101,312286
101,209825
101,575740
101,505985
101,183024
101,495778
101,217709
101,534355
101,492104
101,291863
101,166780
101,544124
101,245960
101,255448
101,151955
101,296346
101,280544
101,205326
101,489129
101,277327
101,648859
101,638494
101,409368
101,395634
101,225520
101,665507
101,193633
101,137654
101,179962
101,571904
101,453460
101,607680
101,103334
101,578758
101,185602
101,607748
101,652475
101,663631
101,198823
101,545358
101,374154
101,212888
101,151957
101,505670
101,139190
101,489676
101,333467
101,660031
